param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
20,0.3169,0.0185,2.5971,0.0349,1.0,0.0,10
50,0.3238,0.0178,2.5841,0.034,1.1,0.3,10
100,0.2811,0.0806,2.6608,0.1436,2.8,2.71,10
