param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
20,0.3071,0.087,2.6113,0.1553,3.8,2.27,10
50,0.3326,0.0144,2.5673,0.0275,3.6,3.8,10
100,0.3,0.0778,2.6255,0.1437,3.8,1.94,10
250,0.2892,0.1223,2.6414,0.2082,4.5,3.01,10
