param_value,r2_mean,r2_std,rmse_mean,rmse_std,n_feat_mean,n_feat_std,n_valid_runs
0.1,0.3317,0.0215,2.5689,0.0413,3.5,3.01,10
0.15,0.2798,0.1005,2.6613,0.1753,5.3,7.25,10
0.3,0.3211,0.0239,2.589,0.045,3.8,5.02,10
0.5,0.3166,0.0231,2.5976,0.0436,1.0,0.0,10
