b14,b49,TS
654.1446863,1575.701504,2.2923914230731737
499.3438835,1137.051432,0.5063756211519992
521.584347,1099.822023,0.3746408034078961
639.0632202,1478.825384,2.2054004200751924
365.9993506,954.4051948,1.3960441798593108
550.6664029,1219.21918,0.7542745689230116
1044.432778,1969.831946,2.6081933409025377
440.1174776,1040.090269,0.8926805424328147
664.7186264,1501.933217,2.2736202580814875
404.3590758,970.2055705,0.581161143981072
435.8902049,1049.973431,1.549403819541715
513.2910271,1122.836525,1.4028740669951625
515.6520019,1258.55705,0.7905675700722566
850.1492325,1541.637759,1.6574561743152616
813.7837708,1589.238476,2.3078038810661927
1078.742857,2125.227769,1.8235008741383936
423.6983766,1012.368182,0.6510734359945963
558.8778809,1238.59315,0.5217562211442857
563.5680218,1309.940141,1.4625261659981488
657.7983355,1395.31258,1.488046078815127
488.8085787,1098.942702,0.5063756211519992
725.1309219,1356.378841,2.446156528624075
704.3689181,1520.974232,2.0047304476527037
853.0788099,1786.501029,2.251326780615122
795.9478233,1675.946863,2.208742427466275
465.0978003,1047.307011,0.8484782941909552
483.5586327,1152.460832,0.7905675700722566
502.5089413,1181.902991,1.5846643614924818
779.5577849,1622.732263,1.943272567803069
1358.619402,2353.851242,1.873833608022636
609.128041,1413.446543,1.5612812165050718
513.9181833,1291.772116,1.2806287135245702
527.193385,1181.084032,1.2180688801047306
801.6600512,1802.198143,2.550040543597077
642.1425859,1327.388511,0.4907706803944981
519.5947503,1175.90605,0.8256837244714933
1272.621591,2308.123539,1.943272567803069
626.6165173,1416.161812,0.7665079810324058
1636.894206,2619.518566,2.118520750124681
542.6381494,1381.880357,1.1258065117288665
509.1691741,1171.291933,1.6300154591773683
483.9329008,1117.721475,1.5191462548029435
553.136414,1251.238329,0.7786046169981008
858.2660231,1781.251622,2.195315654472197
447.4583867,1009.846511,0.3920257514827788
1046.703425,2089.862996,2.2285928948408293
511.0473752,1148.788572,0.2831752583995197
